,id_str,user_id,text,created_at,entities,lang,time_zone
0,1243136301798281216,1050027788281864192,"I have heard the word 'corona virus' this week more than I have heard my name my whole life... 
#Corona #CoronavirusLockDownIndia 
#Quarantine #QuarantineLife #GoCoronaCoronaGo #GodHelpUsAll #StayHomeStaySafe",2020-03-26 11:22:45,"{'hashtags': [{'text': 'Corona', 'indices': [96, 103]}, {'text': 'CoronavirusLockDownIndia', 'indices': [104, 129]}, {'text': 'Quarantine', 'indices': [131, 142]}, {'text': 'QuarantineLife', 'indices': [143, 158]}, {'text': 'GoCoronaCoronaGo', 'indices': [159, 176]}, {'text': 'GodHelpUsAll', 'indices': [177, 190]}, {'text': 'StayHomeStaySafe', 'indices': [191, 208]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en,
1,1243136303194984449,2498780196,"Govt strategies to fight corona All the ATM are without cash and not sanitized, rice full of stones nearly it will take 21days to clean 5 kg,its a 5 kg wheat flour or poor should get ready4 long queu out of flour mill ,PMGKAY is for hungry Indians during virus lockdown or 4 poor. https://t.co/8yOG5s8UF9",2020-03-26 11:22:45,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8yOG5s8UF9', 'expanded_url': 'https://twitter.com/ANI/status/1243130477000536064', 'display_url': 'twitter.com/ANI/status/124…', 'indices': [281, 304]}]}",en,
2,1243136377656500224,60343776,"Well, the state made sure the citizen didn’t die out of Corona. https://t.co/ISOhoncERj",2020-03-26 11:23:03,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ISOhoncERj', 'expanded_url': 'https://twitter.com/samar11/status/1243072543289827329', 'display_url': 'twitter.com/samar11/status…', 'indices': [64, 87]}]}",en,
3,1243136394358403072,1138400689787248640,"v_design_fashion_institute. Corona shut down day 2
Illustration of the day #v_design_fashion_institute #fashionsketches #fashiondiaries #fashionstyle #fashion_illustration #fashiondesigner #fashionupdate… https://t.co/kLX8sakITG",2020-03-26 11:23:07,"{'hashtags': [{'text': 'v_design_fashion_institute', 'indices': [75, 102]}, {'text': 'fashionsketches', 'indices': [103, 119]}, {'text': 'fashiondiaries', 'indices': [120, 135]}, {'text': 'fashionstyle', 'indices': [136, 149]}, {'text': 'fashion_illustration', 'indices': [150, 171]}, {'text': 'fashiondesigner', 'indices': [172, 188]}, {'text': 'fashionupdate', 'indices': [189, 203]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kLX8sakITG', 'expanded_url': 'https://www.instagram.com/p/B-Me1sfj0CV/?igshid=a4x3fpmx55fz', 'display_url': 'instagram.com/p/B-Me1sfj0CV/…', 'indices': [205, 228]}]}",en,
4,1243136543901937664,1867156328,@ESPNcricinfo Donate money for corona virus show some actions,2020-03-26 11:23:43,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ESPNcricinfo', 'name': 'ESPNcricinfo', 'id': 16542390, 'id_str': '16542390', 'indices': [0, 13]}], 'urls': []}",en,
5,1243136675955400705,1131450278132142080,Please follow the means and stands of corona https://t.co/Tu2uySRlh1,2020-03-26 11:24:14,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1243136625921511430, 'id_str': '1243136625921511430', 'indices': [45, 68], 'media_url': 'http://pbs.twimg.com/media/EUCCLMNUUAYYLUN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EUCCLMNUUAYYLUN.jpg', 'url': 'https://t.co/Tu2uySRlh1', 'display_url': 'pic.twitter.com/Tu2uySRlh1', 'expanded_url': 'https://twitter.com/RajaBab29877523/status/1243136675955400705/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 585, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 331, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 998, 'resize': 'fit'}}}]}",en,
6,1243136728166092803,1728396379,Really appreciable  👏👏👏👏👏 https://t.co/4LBsiJmYxn,2020-03-26 11:24:27,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4LBsiJmYxn', 'expanded_url': 'https://twitter.com/xsanskriti/status/1243118998599790592', 'display_url': 'twitter.com/xsanskriti/sta…', 'indices': [26, 49]}]}",en,
7,1243136852539965440,1243129616669315072,I want to thank all the persons who are there for our help when we are in home and saying #QuarantineAndChill  #21daylockdown #NDTVirus ##ChineseVirus #ThursdayMotivation #Corona CoronavirusOubreak #lockdown #Lockdown21 https://t.co/bJWA1bEq89,2020-03-26 11:24:56,"{'hashtags': [{'text': 'QuarantineAndChill', 'indices': [90, 109]}, {'text': '21daylockdown', 'indices': [111, 125]}, {'text': 'NDTVirus', 'indices': [126, 135]}, {'text': 'ChineseVirus', 'indices': [137, 150]}, {'text': 'ThursdayMotivation', 'indices': [151, 170]}, {'text': 'Corona', 'indices': [171, 178]}, {'text': 'lockdown', 'indices': [198, 207]}, {'text': 'Lockdown21', 'indices': [208, 219]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1243136843111174145, 'id_str': '1243136843111174145', 'indices': [220, 243], 'media_url': 'http://pbs.twimg.com/media/EUCCX1TXkAEC4Th.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EUCCX1TXkAEC4Th.jpg', 'url': 'https://t.co/bJWA1bEq89', 'display_url': 'pic.twitter.com/bJWA1bEq89', 'expanded_url': 'https://twitter.com/beingkashishh/status/1243136852539965440/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 576, 'h': 776, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 505, 'h': 680, 'resize': 'fit'}, 'large': {'w': 576, 'h': 776, 'resize': 'fit'}}}]}",en,
8,1243136962677993472,1184658950,"#CoronavirusPandemic | With new #COVID19 positive cases reported, total cases crossed 50 in Karnataka and 40 in Telangana. Meanwhile, total cases across India is at 664 and death toll is 18 on #Day2 of #Lockdown21.
#coronavirusindia #Corona #COVID2019
#coronaupdatesindia https://t.co/4rAUnGv2NB",2020-03-26 11:25:22,"{'hashtags': [{'text': 'CoronavirusPandemic', 'indices': [0, 20]}, {'text': 'COVID19', 'indices': [32, 40]}, {'text': 'Day2', 'indices': [193, 198]}, {'text': 'Lockdown21', 'indices': [202, 213]}, {'text': 'coronavirusindia', 'indices': [215, 232]}, {'text': 'Corona', 'indices': [233, 240]}, {'text': 'COVID2019', 'indices': [241, 251]}, {'text': 'coronaupdatesindia', 'indices': [252, 271]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1243136936853647363, 'id_str': '1243136936853647363', 'indices': [272, 295], 'media_url': 'http://pbs.twimg.com/media/EUCCdShUMAMMDSv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EUCCdShUMAMMDSv.jpg', 'url': 'https://t.co/4rAUnGv2NB', 'display_url': 'pic.twitter.com/4rAUnGv2NB', 'expanded_url': 'https://twitter.com/satyamsingh2704/status/1243136962677993472/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1314, 'resize': 'fit'}, 'small': {'w': 559, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 986, 'h': 1200, 'resize': 'fit'}}}]}",en,
9,1243137083436392449,1242692800350748673,"@narendramodi @myogiadityanath Hi please give the treatment for who  suffering from corona 19 ,please take one glass of milk, add one tea spoon of termaric powder, one spoon of honey and one spoon of ginger juice mix it well boil it 5 minutes and filter it and serve the 1st and second stage people it may",2020-03-26 11:25:51,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': 3437532637, 'id_str': '3437532637', 'indices': [14, 30]}], 'urls': []}",en,
10,1243137213962977280,1061613331361005568,"Sir,, pls concern for those people,, who are unable to survive much more days without any earning,, provide the sufficient ration,, and essential things,,, https://t.co/FaMWyehTP7",2020-03-26 11:26:22,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FaMWyehTP7', 'expanded_url': 'https://twitter.com/BJP4India/status/1243135432604307465', 'display_url': 'twitter.com/BJP4India/stat…', 'indices': [156, 179]}]}",en,
11,1243137315972599808,69670273,Most likely they’d have already invested in China. Influx of funds can be huge initially if all goes well here and then the vacuum — below normalcy https://t.co/Yo90YlznL6,2020-03-26 11:26:47,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Yo90YlznL6', 'expanded_url': 'https://twitter.com/sri9011/status/1243135496106082304', 'display_url': 'twitter.com/sri9011/status…', 'indices': [148, 171]}]}",en,
12,1243137421954318336,1243127262452412417,"Lockdown days....bang bang corona....🤣🤣🤣
@republic @IndiaToday @jimmyfallon @jimmykimmel @TimesNow @ndtvvideos #COVID2019 #Lockdown21 #21daylockdown #StayHome #QuarantineLife #SocialDistancing #StaySafe https://t.co/PvjKdJFCR3",2020-03-26 11:27:12,"{'hashtags': [{'text': 'COVID2019', 'indices': [111, 121]}, {'text': 'Lockdown21', 'indices': [122, 133]}, {'text': '21daylockdown', 'indices': [134, 148]}, {'text': 'StayHome', 'indices': [149, 158]}, {'text': 'QuarantineLife', 'indices': [159, 174]}, {'text': 'SocialDistancing', 'indices': [175, 192]}, {'text': 'StaySafe', 'indices': [193, 202]}], 'symbols': [], 'user_mentions': [{'screen_name': 'republic', 'name': 'Republic', 'id': 811972460560019456, 'id_str': '811972460560019456', 'indices': [41, 50]}, {'screen_name': 'IndiaToday', 'name': 'IndiaToday', 'id': 19897138, 'id_str': '19897138', 'indices': [51, 62]}, {'screen_name': 'jimmyfallon', 'name': 'jimmy fallon', 'id': 15485441, 'id_str': '15485441', 'indices': [63, 75]}, {'screen_name': 'jimmykimmel', 'name': 'Jimmy Kimmel', 'id': 26053643, 'id_str': '26053643', 'indices': [76, 88]}, {'screen_name': 'TimesNow', 'name': 'TIMES NOW', 'id': 240649814, 'id_str': '240649814', 'indices': [89, 98]}, {'screen_name': 'ndtvvideos', 'name': 'NDTV Videos', 'id': 249643872, 'id_str': '249643872', 'indices': [99, 110]}], 'urls': [], 'media': [{'id': 1243137222292819968, 'id_str': '1243137222292819968', 'indices': [203, 226], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1243137222292819968/pu/img/5P9hwJ15HfK3_Koz.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1243137222292819968/pu/img/5P9hwJ15HfK3_Koz.jpg', 'url': 'https://t.co/PvjKdJFCR3', 'display_url': 'pic.twitter.com/PvjKdJFCR3', 'expanded_url': 'https://twitter.com/RounakRoyChoud1/status/1243137421954318336/video/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 900, 'resize': 'fit'}}}]}",en,
13,1243137451180167168,17830429,"#COVID19 does not spread through mosquitoes: Health Ministry

https://t.co/vxEcwy2e7w 

#Sakal #SakalNews #viral #SakalTimes #news #Corona #CoronavirusOutbreak #CoronaVillains #COVID #COVID2019 #COVID19outbreak",2020-03-26 11:27:19,"{'hashtags': [{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'Sakal', 'indices': [88, 94]}, {'text': 'SakalNews', 'indices': [95, 105]}, {'text': 'viral', 'indices': [106, 112]}, {'text': 'SakalTimes', 'indices': [113, 124]}, {'text': 'news', 'indices': [125, 130]}, {'text': 'Corona', 'indices': [131, 138]}, {'text': 'CoronavirusOutbreak', 'indices': [139, 159]}, {'text': 'CoronaVillains', 'indices': [160, 175]}, {'text': 'COVID', 'indices': [176, 182]}, {'text': 'COVID2019', 'indices': [183, 193]}, {'text': 'COVID19outbreak', 'indices': [194, 210]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vxEcwy2e7w', 'expanded_url': 'http://www.sakaltimes.com', 'display_url': 'sakaltimes.com', 'indices': [62, 85]}]}",en,
