,id_str,user_id,text,created_at,lang,entities_hashtags,entities_symbols,location,coordinates,time_zone
0,1244686335274672128,1244383606924926976,"Corona gone crazy in India...
Vigorously spreading out!
Confirmed cases rises to 1251.
#Heartbreaking #Coronavirustruth #Covid_19 #GoCorona #CoronaUpdates 
#CoronaVirusUpdates #hardtimes https://t.co/r3DZX5e1MQ",2020-03-30 18:02:02,en,"[{'text': 'Heartbreaking', 'indices': [87, 101]}, {'text': 'Coronavirustruth', 'indices': [102, 119]}, {'text': 'Covid_19', 'indices': [120, 129]}, {'text': 'GoCorona', 'indices': [130, 139]}, {'text': 'CoronaUpdates', 'indices': [140, 154]}, {'text': 'CoronaVirusUpdates', 'indices': [156, 175]}, {'text': 'hardtimes', 'indices': [176, 186]}]",[],"New Delhi, India",,
1,1244686611473784834,136914627,@gkd600 thanks for your recommendation. I've contributed https://t.co/m88m1xARAR,2020-03-30 18:03:07,en,[],[],Hyderabad,,
2,1244686629039755265,113916197,"#Corona
#ChineseVirus19 #CoronavirusOutbreak
#COVID
Check out Shashank Soni's video! #TikTok https://t.co/uwL2YMs63k",2020-03-30 18:03:12,en,"[{'text': 'Corona', 'indices': [0, 7]}, {'text': 'ChineseVirus19', 'indices': [8, 23]}, {'text': 'CoronavirusOutbreak', 'indices': [24, 44]}, {'text': 'COVID', 'indices': [45, 51]}, {'text': 'TikTok', 'indices': [85, 92]}]",[],New Delhi,,
3,1244686840436645890,1115543196363317254,"Mockery of lockdown at its height.""Tabliqu e jamat""or ""corona spreading squad?""Wat were1600 Maulanas frm India&amp;abroad doing at Nizamuddin?When wll dis illiterate,uncivilized community learn2 bhave themselves?Just becoz of thm so many ppl r going2 get corona.300 already suspected",2020-03-30 18:04:02,en,[],[],"Kolkata, India",,
4,1244686965158510592,1098984859027030016,"Experiencing one of the biggest April fool till date.
Well played #China

#ChinaLiedPeopleDie
#Corona #COVID19 #CoronavirusPandemic #ChinaVirus #ChinaMustPay #ChinaLiesPeopleDie #wellplayedchina #CoronaLockdown #WHOhanVirus #WHOLiedPeopleDied #CoronavirusCrisis #crisis",2020-03-30 18:04:32,en,"[{'text': 'China', 'indices': [66, 72]}, {'text': 'ChinaLiedPeopleDie', 'indices': [74, 93]}, {'text': 'Corona', 'indices': [94, 101]}, {'text': 'COVID19', 'indices': [102, 110]}, {'text': 'CoronavirusPandemic', 'indices': [111, 131]}, {'text': 'ChinaVirus', 'indices': [132, 143]}, {'text': 'ChinaMustPay', 'indices': [144, 157]}, {'text': 'ChinaLiesPeopleDie', 'indices': [158, 177]}, {'text': 'wellplayedchina', 'indices': [178, 194]}, {'text': 'CoronaLockdown', 'indices': [195, 210]}, {'text': 'WHOhanVirus', 'indices': [211, 223]}, {'text': 'WHOLiedPeopleDied', 'indices': [224, 242]}, {'text': 'CoronavirusCrisis', 'indices': [243, 261]}, {'text': 'crisis', 'indices': [262, 269]}]",[],"Pune, India",,
5,1244687044627947523,1217506290387144704,"@yadavakhilesh New Technology or method of  spraying of chlorine water on Corona suspected people. First of its kind in India, we have never heard about it. Other States need to learn this new Science invention.",2020-03-30 18:04:51,en,[],[],,,
6,1244687106514903044,1202219824492843008,@INCIndia @KartiPC This UP govt first suggest to drink cow urine best medicine for corona and the so called God man yogi Aditya doing all evils in the state but none has guts to question...,2020-03-30 18:05:06,en,[],[],,,
7,1244687115385856008,76285044,"@Javedakhtarjadu Are you also strongly proposing to arrest the so called Islamic scholars/bastards of Nizammudin area for carrying Corona Jihad or you will ignore.
@dsharma54 @Ashwini_Trpathi",2020-03-30 18:05:08,en,[],[],Gurgaon-India,,
8,1244687212932788224,922499730403483649,"No hug. 
First Corona lesson. 
Only Namaste. https://t.co/1adLFuKLet",2020-03-30 18:05:31,en,[],[],"South Swaroopnagar, Uppal, Hyd",,
9,1244687236148236288,2223379166,@ICMRDELHI Is this Quarantine? Bihar CM has lost humanity I request to treat them as human they are not animal. @yadavtejashwi @TejYadav14 please Help them. https://t.co/csldKZmIuM,2020-03-30 18:05:36,en,[],[],Delhi,,
10,1244687265017655296,35152706,@Milan_reports @abhisar_sharma @IndiaToday This virus is also taking communal turn. Advantage BJP @BJP4India #Corona,2020-03-30 18:05:43,en,"[{'text': 'Corona', 'indices': [109, 116]}]",[],"Noida, India",,
11,1244687447885111300,241066361,"@sudhirchaudhary Sir, I am a big fan of you and I see DNA everyday. I have an appeal to you that if you can forward the message of my given tweet, then please, if you read the message, then you will experience the seriousness of the message. Thanks #AskZee https://t.co/dMnvvaRoIr",2020-03-30 18:06:27,en,"[{'text': 'AskZee', 'indices': [249, 256]}]",[],India,,
12,1244687478117687297,86401667,Completely agree! https://t.co/JsByVDWvQ5,2020-03-30 18:06:34,en,[],[],Bangalore,,
13,1244687563878617088,945686001417986048,Delhi Govt made a ness on Corona control by allowing gathering of hundreds of muslim in Nizamdiin masjid which may create an explosion in spreading corona.We all are anxious on this. In this respect hats off Mamta Banerjee by her restless efforts.,2020-03-30 18:06:55,en,[],[],"कोलकाता, भारत",,
14,1244687765091930112,1203613548,"We Are Fighting Good 
Against CORONA (COVID-19)
Stay Home 🏠.
Stay Safe 🕺.
#Popular #Ahmedabad #Gujaratcorona #Gujarat #gujaratlockdown #AhmedabadPolice #BestFanArmy #COVID2019india #AhmedabadFightsCorona #PoliceDepartment https://t.co/dUzA6joGi5",2020-03-30 18:07:43,en,"[{'text': 'Popular', 'indices': [74, 82]}, {'text': 'Ahmedabad', 'indices': [83, 93]}, {'text': 'Gujaratcorona', 'indices': [94, 108]}, {'text': 'Gujarat', 'indices': [109, 117]}, {'text': 'gujaratlockdown', 'indices': [118, 134]}, {'text': 'AhmedabadPolice', 'indices': [135, 151]}, {'text': 'BestFanArmy', 'indices': [152, 164]}, {'text': 'COVID2019india', 'indices': [165, 180]}, {'text': 'AhmedabadFightsCorona', 'indices': [181, 203]}, {'text': 'PoliceDepartment', 'indices': [204, 221]}]",[],"Ahmadabad City, India",,
15,1244688001302577154,719911008408616961,"Full fledged awareness done by Modi government to fight CORONA virus.
Live example-Even the kids have taken initiative to educate everyone.
Drawing made by my 6 years old niece... Ileana Singh. https://t.co/thdV8gMpLY",2020-03-30 18:08:39,en,[],[],,,
16,1244688360053956608,824102156181639168,"In Punjab, number of postive cases for novel corona virus rose to 41.
One more Corona death today. A  nCov positive
woman from Ludhiana who has returned from Dubai, died at Rajendra Hospital.#airnewsalerts https://t.co/jPRU7OZosG",2020-03-30 18:10:04,en,"[{'text': 'airnewsalerts', 'indices': [191, 205]}]",[],"Chandigarh, India",,
17,1244688411077664768,114698199,No of corona test done per day still seems to very low. It should have reached in 1000s atleast. Much more people travel to other states and other countries. Each and every single person with some international travel history should be checked @WeAreRanchi @HemantSorenJMM,2020-03-30 18:10:17,en,[],[],"Ranchi,Jharkhand,India",,
18,1244689093692289024,1215573354452676608,#mashaAllah #dadi_maa   everyone is helping to fight against corona🙏🏻 in our INDIA ❤️ #Hindu #muslim #sikh #Esai waiting for that day when MR @narendramodi  announces INDIA is now safe 🙏🏻 hoping for the best👏🏻 #StayHomeStaySafe https://t.co/mA9B5DJaRX,2020-03-30 18:12:59,en,"[{'text': 'mashaAllah', 'indices': [0, 11]}, {'text': 'dadi_maa', 'indices': [12, 21]}, {'text': 'Hindu', 'indices': [86, 92]}, {'text': 'muslim', 'indices': [93, 100]}, {'text': 'sikh', 'indices': [101, 106]}, {'text': 'Esai', 'indices': [107, 112]}, {'text': 'StayHomeStaySafe', 'indices': [210, 227]}]",[],"Mandvi, Mumbai",,
19,1244689155159756806,74121873,Glimpses of real #India amid the #coronavirusinindia https://t.co/NSDty5uRBR,2020-03-30 18:13:14,en,"[{'text': 'India', 'indices': [17, 23]}, {'text': 'coronavirusinindia', 'indices': [33, 52]}]",[],INDIA,,
20,1244689234805440512,861480219185524736,It's Vr Shame. https://t.co/SZQkWbtfL7,2020-03-30 18:13:33,en,[],[],,,
21,1244689575043379202,835518216248119297,"@JansamparkMP https://t.co/iarMlmngg7
Please give chance to dr vishwaroop Choudhary Rai from corona care.
Thanks",2020-03-30 18:14:54,en,[],[],,,
22,1244689578696441857,3048309271,"@KTRTRS Such a shame on you &amp; your Govt hiding the info &amp; releasing it at exactly 11pm. Don’t you have guts to share authentic information about corona cases. Treat them properly , don’t publicise the 10% of your work and claim it to be 100% in Social Media. #SocialMediaMinister https://t.co/yg3iR8AboM",2020-03-30 18:14:55,en,"[{'text': 'SocialMediaMinister', 'indices': [267, 287]}]",[],United States,,
23,1244689615019073537,901497808733085700,"Sadly the enemies of India, the terrorists have taken recourse to the use of invisible weapon - The Corona Virus

Wake up India!!",2020-03-30 18:15:04,en,[],[],India,,
24,1244689825711587328,4514763614,"I'm fighting with corona by staying home, you too stay at your home and fight with this bloody virus. Thanks a lot to my Dear brother #Nagesh for this video to make social awareness in a very funny and easy way. 🇮🇳🙏🏻 #21DaysChallenge #caronavirusoutbreak #Coronaindia https://t.co/b0DNNng3ED",2020-03-30 18:15:54,en,"[{'text': 'Nagesh', 'indices': [134, 141]}, {'text': '21DaysChallenge', 'indices': [217, 233]}, {'text': 'caronavirusoutbreak', 'indices': [234, 254]}, {'text': 'Coronaindia', 'indices': [255, 267]}]",[],"भारत🇮🇳, पृथ्वी🌍,ब्रम्हांड🌌",,
25,1244689911988416512,2826432134,"Any way You distribute people's money. Let people feed them directly which lessens burden in all angles. C that veg &amp; provisions milk etc reach stores. Test store keepers, staff, truck drivers helpers 4 corona virus continuously.All district borders tighten and dont allow to move",2020-03-30 18:16:14,en,[],[],vizag,,
26,1244690017965858816,2826432134,Which ever district corona is not spread let them work normally by following precautions. Suspend all news channels till april14th.only entertainment movies channels doordarshan news channel thats it. Also fine whats app sharing of corona news without confirmity.,2020-03-30 18:16:40,en,[],[],vizag,,
27,1244690163445436417,4845028814,@GreatCM_ kejriwal . Pls don't spare govt and public fund on your personal Aap Sarkar  Advertisement  rather than Corona Virus .pls stop this,2020-03-30 18:17:14,en,[],[],Mumbai,,
28,1244690558712307719,3048309271,"@narendramodi @PMOIndia @AmitShah Dear Respected Sir., Please look in to this,Telangana govt hiding the info &amp; not showing the authentic information, patients are not treated properly, they have taken media under their control, Hitler rule Monoploy single dictatorship. #GodSaveTG https://t.co/eJaZbThnhv",2020-03-30 18:18:49,en,"[{'text': 'GodSaveTG', 'indices': [274, 284]}]",[],United States,,
29,1244690628853653504,354235460,Mallya may wants to come back. India due to Corona .... 😂 https://t.co/zUJbFb3Zsf,2020-03-30 18:19:05,en,[],[],kolkata ,,
