,id_str,user_id,text,created_at,lang,entities_hashtags,entities_symbols,location,coordinates,time_zone
0,1244585306973593602,1222965803600924673,@_sabanaqvi @rssurjewala ....request to aware these types of people about pandemic chinese corona virus..instead of politics and propaganda 🙏 https://t.co/bIa8oOkhOt,2020-03-30 11:20:35,en,[],[],New Delhi,,
1,1244585640471048192,1009399635209801728,"Seriously if i think.. What all workers feel like.. I can't control my hunger.. For 12 hrs.  So how they can stay without food..from last 5 days..

I.e, people live with corona virus,  but we can't without food.. 

If u find any poor people near u,  help them it helps them a lot",2020-03-30 11:21:54,en,[],[],"Mumbai, India",,
2,1244585645621690368,124685042,@ABPNews In 21 Day Lock Down my grand daughter pray for all save from Corona @sukhbirwalia @VishalSatra1 @__kashyap__ @kinjal_patel12 @Gurprit33142485 @nsbchd @Richa89371445 @sharma_jyo @sharma_jyo @dawar_l @Sanjeevarora64 @Rajivbakshi52 @sukhvirgarcha @nsbchd https://t.co/1BccDxSMZI,2020-03-30 11:21:55,en,[],[],,,
3,1244585703171715083,86151514,Contribution of Rs 11.00 lakhs to CM relief fund @bhupeshbaghel @ChhattisgarhCMO by Shree Mahamaya Devi Mandir Public trust Raipur Chattisgarh for fighting Corona. https://t.co/ZpJbBHvGB8,2020-03-30 11:22:09,en,[],[],"Raipur, India",,
4,1244585751724969986,3219161875,"@iamDivyaKhosla @ArvindKejriwal Nice well said Yes it's not time for advertising, collecting propoganda it's time to work together to save our country for Corona👍",2020-03-30 11:22:21,en,[],[],"Lucknow, India",,
5,1244585877570867200,782793993528672256,"KILL U CORONA
#coronavirusindia https://t.co/hwWcQdqryb",2020-03-30 11:22:51,en,"[{'text': 'coronavirusindia', 'indices': [14, 31]}]",[],"Uppal,hyderabad ",,
6,1244586118034513921,482207468,"Dear @narendramodi @PMOIndia Sir,
My niece have made one small poem on current corona Issue,Request to read it.
@CMOfficeUP
@cmohry  @ChouhanShivraj @rashtrapatibhvn @CMOMaharashtra

thanks. https://t.co/rQ4khCIxFX",2020-03-30 11:23:48,en,[],[],भारतवर्ष ,,
7,1244586169628672001,1204420197278347265,Staya home#staya safe# India Corona virus' pls staya home https://t.co/us66RQFlgW,2020-03-30 11:24:00,en,[],[],"nagercoil, India",,
8,1244586267334938624,344531548,"@smritiirani 
@narendramodi
@JPNadda
I Pledge to Contribute a Small contribution of 2,500/- for Nation to face the current situation of country due to carona
I And My Famliy will also pray that our country wins fight against corona https://t.co/VspuNvaEx6 https://t.co/jX6DxBS0a5",2020-03-30 11:24:24,en,[],[],"Virar West, Mumbai",,
9,1244586505814732801,1243241773721247746,@pmmodi_ @narendramodi @PMOIndia at this time when corona is hitting chandigarh our mp kirron kher is lost and nobody knows where she is and i think she doesn't have any responsibility for our city chandigarh @KirronKherBJP,2020-03-30 11:25:20,en,[],[],,,
10,1244586744021827585,271995909,"On what basis these morons call themselves journalists ... Disinfectant sprays is a common thing. 

We should actually check their credentials before even reading their bunkham

https://t.co/BU6Dij6VTx https://t.co/4R0CMQxoFP",2020-03-30 11:26:17,en,[],[],India ,,
11,1244586880718401537,344531548,"@sambitswaraj 
I Pledge to Contribute a Small contribution of 2,500/- for Nation to face the current situation of country due to carona
I And My Famliy will also pray that our country wins fight against corona https://t.co/crIBDpVfz2 https://t.co/Tz9f6Ax5ZT",2020-03-30 11:26:50,en,[],[],"Virar West, Mumbai",,
12,1244586930102099972,1170656892030525442,"Juss a two micro - donations Rs.25 &amp; Rs. 75 for @narendramodi ji for #PMCARES to fight corona virus 😊🙏.
Stay Home, Save Life. https://t.co/lXrg7AmMRn",2020-03-30 11:27:02,en,"[{'text': 'PMCARES', 'indices': [73, 81]}]",[],"Chhindwara, India",,
13,1244587062247870464,1207865055108190208,Just a little donation For @narendramodi ji For #PMCARES to Fight Corona Virus https://t.co/5Fio8nPJGr,2020-03-30 11:27:33,en,"[{'text': 'PMCARES', 'indices': [48, 56]}]",[],India,,
14,1244587356184670209,1174970285285490688,@airtelindia Why u team blaming covid r u given weavers to customers or any other add on benifits to Airtel customer no simply mis using indian citizens n there money. If same calculate each customer all over India that amount u should give charity's for Corona for those many days.,2020-03-30 11:28:43,en,[],[],,,
15,1244587448409018370,637065964,@myogiadityanath Should they go to the bank and stand in queue again to withdraw money? Corona ko failne se banchana hai ya faiylana hai,2020-03-30 11:29:05,en,[],[],asansol,,
16,1244588034378461184,21961038,"City Series – Viji Venkatesh in Bombay, We the Isolationists (96th Corona Diary) – The Delhi Walla https://t.co/2OwDzz1UJI
What we see when we close our eyes in self isolation - for @thedelhiwalla ‘s Corona Diary",2020-03-30 11:31:25,en,[],[],"ÜT: -23.439901,-47.062894",,
17,1244588073154830338,1642436714,"Delhi -23
Kerala -20
Uttar Pradesh -19 
Maharashtra -17 
Four top states in the tally of 130 new cases #Corona as on 29.03.2020 biggest challenge by  visitors from Gulf, migratory labour from Maharastra DELHI Kerala make serious situation in Uttar Pradesh and Bihar, #Emergency",2020-03-30 11:31:34,en,"[{'text': 'Corona', 'indices': [103, 110]}, {'text': 'Emergency', 'indices': [267, 277]}]",[],FARIDABADa,,
18,1244588094361186306,1239003289,"@rsprasad @BSNLCorporate @MTNLOfficial Day 6 of #Quarantine. Take Precautions, #India defeat #Corona virus.. together we can !! Most importantly, follow quarantine/self-isolation guidelines and extend full co-operation to #Govt of India #Narendra Modi Ji and #Medical staff, #Police.  #IndiaFightsCorona #Stay @PMOIndia https://t.co/spuCZA4SAx",2020-03-30 11:31:39,en,"[{'text': 'Quarantine', 'indices': [48, 59]}, {'text': 'India', 'indices': [79, 85]}, {'text': 'Corona', 'indices': [93, 100]}, {'text': 'Govt', 'indices': [222, 227]}, {'text': 'Narendra', 'indices': [237, 246]}, {'text': 'Medical', 'indices': [259, 267]}, {'text': 'Police', 'indices': [275, 282]}, {'text': 'IndiaFightsCorona', 'indices': [285, 303]}, {'text': 'Stay', 'indices': [304, 309]}]",[],"Bengaluru, India",,
19,1244588159100268544,723735300,Commendable work done !!! https://t.co/pGcY6H2W1Y,2020-03-30 11:31:55,en,[],[],jaipur,,
20,1244588229149339649,130501145,"Can we Call 'Corona Virus' as ""Chinese Virus ? By that we always remember China Brutality
#CovidChineseVirus",2020-03-30 11:32:11,en,"[{'text': 'CovidChineseVirus', 'indices': [90, 108]}]",[],varanasi,,
21,1244588387803123713,130501145,"@ArvindKejriwal Can we Call 'Corona Virus' as ""Chinese Virus ? By that we always remember China Brutality",2020-03-30 11:32:49,en,[],[],varanasi,,
22,1244588516505317376,344531548,"@sambitswaraj
@PMOIndia
@narendramodi
#IndiaFightsCorona
#IndiaVsCorona
I Pledge to Contribute a Small contribution of 2,500/- for Nation to face the current situation of country due to carona
I And My Famliy will also pray that our country wins fight against corona https://t.co/giBC0rKG4e",2020-03-30 11:33:20,en,"[{'text': 'IndiaFightsCorona', 'indices': [38, 56]}, {'text': 'IndiaVsCorona', 'indices': [57, 71]}]",[],"Virar West, Mumbai",,
23,1244588624282152960,106965595,Height &amp; FAT of #Corona best of luck cheaters. https://t.co/LyTrRJQhAC,2020-03-30 11:33:46,en,"[{'text': 'Corona', 'indices': [20, 27]}]",[],"Gulbarga, India",,
24,1244588660944584704,354195452,"Growing larger precautions generates inconvenience, @IPL tournament was halted but corona contest yet to start in India 🇮🇳 https://t.co/bttsEZC79A",2020-03-30 11:33:54,en,[],[],"Chennai, India",,
25,1244588712530333696,144271556,When one does have anything else thanks to Corona Virus but to sit at home and put the throwbacks of your past rides is what you can do best. Thanks to the social media platforms instagram facebookapp twitter… https://t.co/pfzg9gHoj8,2020-03-30 11:34:07,en,[],[],Pune,"{'type': 'Point', 'coordinates': [72.921119, 18.565949]}",
26,1244588740514725888,570913443,#Northern #Railway Workshops Gears Up to Fight against COVID- 2019 https://t.co/9gLOE65J5k #COVID2019india #Corona #COVID @PiyushGoyal,2020-03-30 11:34:13,en,"[{'text': 'Northern', 'indices': [0, 9]}, {'text': 'Railway', 'indices': [10, 18]}, {'text': 'COVID2019india', 'indices': [91, 106]}, {'text': 'Corona', 'indices': [107, 114]}, {'text': 'COVID', 'indices': [115, 121]}]",[],"Varanasi, India",,
27,1244588849579212802,1239003289,"@DrHVoffice @drharshvardhan Day 6 of #Quarantine. Take Precautions, #India defeat #Corona virus.. together we can !! Most importantly, follow quarantine/self-isolation guidelines and extend full co-operation to #Govt of India #Narendra Modi Ji and #Medical staff, #Police.  #IndiaFightsCorona #Stay at home🙏 https://t.co/vmdVwMb3Qm",2020-03-30 11:34:39,en,"[{'text': 'Quarantine', 'indices': [37, 48]}, {'text': 'India', 'indices': [68, 74]}, {'text': 'Corona', 'indices': [82, 89]}, {'text': 'Govt', 'indices': [211, 216]}, {'text': 'Narendra', 'indices': [226, 235]}, {'text': 'Medical', 'indices': [248, 256]}, {'text': 'Police', 'indices': [264, 271]}, {'text': 'IndiaFightsCorona', 'indices': [274, 292]}, {'text': 'Stay', 'indices': [293, 298]}]",[],"Bengaluru, India",,
28,1244588905921302529,364826936,"BREAKING NEWS!

 Two pregnant Men hide their travel history to Thailand and they tell their wife's that they went to Bengaluru.

They are ashamed that they could not get their abortions done in Bangkok due to Corona pandemic. 😂

#COVIDIOTS #IndiaFightCorona 
#FAKenews https://t.co/uWZe8TNWNQ",2020-03-30 11:34:53,en,"[{'text': 'COVIDIOTS', 'indices': [229, 239]}, {'text': 'IndiaFightCorona', 'indices': [240, 257]}, {'text': 'FAKenews', 'indices': [259, 268]}]",[], India,,
29,1244589046753415168,100246195,"@deloztwanderer @icedtea28 @ShashiTharoor @PMOIndia PMRF can be used for health as well. can be used for any kind of relief.Pandemic is also a calamity. Moreover, u urself said it used for releasing funds for treatment of certain diseases, then why not release for Corona virus. Treatment of diseases u mentioned not health related?",2020-03-30 11:35:26,en,[],[],Guntur,,
30,1244589082283405313,362054834,@SandeepParekh 1 billion I’ll donate for corona. The rest I’ll keep.,2020-03-30 11:35:35,en,[],[],"New Delhi, India",,
31,1244589103317790723,130501145,"Can we Call 'Corona Virus' as ""Chinese Virus ? By that we always remember China Brutality

@myogiadityanath @PMOIndia @DrKumarVishwas @DrVivekBindra @BNIindia",2020-03-30 11:35:40,en,[],[],varanasi,,
32,1244589336604987392,497848631,"IAS officer Ashwini Bhide given the responsibility for Corona Virus War room,She has been included in the task force set up by Chief Minister Uddhav Thackeray to tackle COVID-19.",2020-03-30 11:36:35,en,[],[],"Mumbai, India",,
33,1244589453785444353,1521775921,Big Breaking: Health Ministry and WHO team reached Tabligi Zamat Islamic centre in Nizamuddin West area after 300 people mostly foreigners are reported to be #Corona suspects. 6 tested positive. After Delhi Police report to MHA efforts on admit the suspects in the Hospital.,2020-03-30 11:37:03,en,"[{'text': 'Corona', 'indices': [158, 165]}]",[],"New Delhi, India",,
34,1244589733272903690,1065541981793771521,@realDonaldTrump why corona virus not spreading to Chinese city Beijing &amp;Shanghai.,2020-03-30 11:38:10,en,[],[],"Orissa, India",,
35,1244589875908628481,1070789630738411520,@Washak5 All this happening Becouse of corona 😂😂😂🤣🤣🤣,2020-03-30 11:38:44,en,[],[],"New Delhi, India",,
36,1244590045627060224,852398826744926208,"@myogiadityanath Great CM Yogi 

I want to give an advice which people r unable to rechare dish TV.,  Air tel etc 
Govt should guideline to give free rechare and company can give 21 loan recharge so that people and child will see more tv,  to avoid corona",2020-03-30 11:39:24,en,[],[],"Greater Noida, India",,
37,1244590352977321985,111577748,"@TMCaTweetAway @abpmajhatv 2.5 year old PRUTHA saying Go Corona and asking everyone to Stay Home. #GoCorona
#stayhomestaysafe @ Thane https://t.co/WXkkUQGSFB",2020-03-30 11:40:38,en,"[{'text': 'GoCorona', 'indices': [98, 107]}, {'text': 'stayhomestaysafe', 'indices': [108, 125]}]",[],Mumbai,"{'type': 'Point', 'coordinates': [72.9655, 19.2013]}",
38,1244590454814859264,1056614393121828866,"Sometimes people really make me wonder : Are they really being charitable or doing it just for the sake of social media? 

#Chandigarh #Corona #IndiaFightsCorona",2020-03-30 11:41:02,en,"[{'text': 'Chandigarh', 'indices': [123, 134]}, {'text': 'Corona', 'indices': [135, 142]}, {'text': 'IndiaFightsCorona', 'indices': [143, 161]}]",[],"Chandigarh, India",,
39,1244590463044087809,794894533565632512,Modisarkar Should Stock Oil Petrol For Six Months Price Very Low Today Yes This Stock Of Reserve Stock for Nation Betterment Seeing Crises Of Future Incoming Be Serious N DO ACCO For Reserve Stock For India AAPKO Dusra Avser Nahi Milega Note It Written I Months Before Savdhan yes https://t.co/TI69S4Gc8T https://t.co/4AoLOpKRUY,2020-03-30 11:41:04,en,[],[],,,
40,1244591231868387329,111577748,"@TMCaTweetAway @abpmajhatv 2.5 year old PRUTHA saying Go Corona and asking everyone to Stay Home. #GoCorona
#StayHomeStaySafe https://t.co/4zoLtnb7TH https://t.co/oH798AGmxW",2020-03-30 11:44:07,en,"[{'text': 'GoCorona', 'indices': [98, 107]}, {'text': 'StayHomeStaySafe', 'indices': [108, 125]}]",[],Mumbai,,
41,1244591268455464962,2514519232,"@TVMohandasPai @TheAtlantic @PrinceArihan ..
Modi Haters make fortune
hating Modi. It is an Industry,
not affected by Corona

.@ShashiTharoor gang .@INCIndia
.@BDUTT gang .@RanaAyyub gang 
.@_sabanaqvi gang .@Shehla_Rashid https://t.co/pLNSlDQmM7",2020-03-30 11:44:16,en,[],[],,,
42,1244591299639906305,51967094,"We are waves from the save sea -All we ever have and will ever have is each other 
The biggest virus we have is not corona- it is fear &amp; selfishness #CoronaUpdate #CCPVirus #Carona #nishajamvwal https://t.co/aVoPzFKybW",2020-03-30 11:44:23,en,"[{'text': 'CoronaUpdate', 'indices': [153, 166]}, {'text': 'CCPVirus', 'indices': [167, 176]}, {'text': 'Carona', 'indices': [177, 184]}, {'text': 'nishajamvwal', 'indices': [185, 198]}]",[],India,,
