,id_str,user_id,text,created_at,lang,entities_hashtags,entities_symbols,location,coordinates,time_zone
0,1250428520657866755,337796935,"@ganeshran @NHM_TN @CMOTamilNadu @Vijayabaskarofl @MoHFW_INDIA https://t.co/BT7dOjrMe0

TN Corona Update District wise 15/04/2020",2020-04-15 14:19:25,en,[],[],"Chennai, India",,
1,1250428749666856963,140885006,"Another CORONA warrior falls and Media busy Demonizing CORONA warrior (him)
Shame on This Media
How it presents false news
A reputed Media house Headline is
Meghalaya Lone COVID positive pt...
Dear friends I really… https://t.co/chs6sZTo2v",2020-04-15 14:20:20,en,[],[],India,"{'type': 'Point', 'coordinates': [84.9151306, 26.6516991]}",
2,1250428846714712067,1210204293145300993,Corona epedimic is the test of we the people of India.,2020-04-15 14:20:43,en,[],[],,,
3,1250428908429692932,957579771000496128,"Any Comments..?? If this will continue how will win war against #COVID #Corona..??
@CMOfficeUP @myogiadityanath
@AmitShah @siddaramaiah @dineshgrao @BSYBJP @ikseshwarappa @CTRavi_BJP https://t.co/b60opfe1Dl",2020-04-15 14:20:58,en,"[{'text': 'COVID', 'indices': [64, 70]}, {'text': 'Corona', 'indices': [71, 78]}]",[],"Bengaluru, India",,
4,1250429599885885440,972158162106118144,"Mr.Pinayayee vijayan is a gem good administrator,  he controlled corona death rate in kerala,  today's corona death was only one in his state , without good administration these are all the things not possible.",2020-04-15 14:23:43,en,[],[],India,,
5,1250429629166276609,1118919363732525056,"Don't see every situation with communal colour, fight with Corona not with a specific com. https://t.co/UP8chzdt1Y",2020-04-15 14:23:50,en,[],[],,,
6,1250429733419925505,971715520562188288,"National Art Competition || COVID-19
AWARENESS CAMPAIGN'S
Professional artist -: Pushpa mahadeo
Title --: Corona warriors 
Medium :- Watercolour 
size -: A1 on cartridge paper 
Prize-:@
Address :- YOGESHWAR BUILDING… https://t.co/MVrjY6XD4I",2020-04-15 14:24:14,en,[],[],"Bhagalpur,bihar,India","{'type': 'Point', 'coordinates': [72.83154702, 18.99385357]}",
7,1250429933366595584,94499619,"Plants and trees are giving so much, we are properus..Why are we eating animal and insects etc, and spreading corona like deceises.. https://t.co/BTGiF6Vbtb",2020-04-15 14:25:02,en,[],[],"Ahmadabad City, India",,
8,1250429988936929281,1245014447870980096,"Don’t Spread Hate, Support Corona Worriers 
Doctors will be demoralised, they too have family, do you really think there families will allow them to serve people at there life risk in this way , already they are in risk to the virus 
#muradnagar #COVID19Aus #COVIDreliefIRS",2020-04-15 14:25:15,en,"[{'text': 'muradnagar', 'indices': [234, 245]}, {'text': 'COVID19Aus', 'indices': [246, 257]}, {'text': 'COVIDreliefIRS', 'indices': [258, 273]}]",[],"Ghaziabad, India",,
9,1250430284182376449,1479730783,This is the true patriotism. https://t.co/n9oN759YIP,2020-04-15 14:26:26,en,[],[],,,
10,1250430376830353410,1035316710046294016,"#ThankYouCoronaWarriors
The world is going through tough times. In these times, the undiluted courage and selflessness of our Corona Warriors stand out.
via NaMo App",2020-04-15 14:26:48,en,"[{'text': 'ThankYouCoronaWarriors', 'indices': [0, 23]}]",[],"Jaipur, India",,
11,1250430409894055937,1115543196363317254,"Bandra incident was  pre-planned , like Nizamuddin. These people are trying their level best to infect pan India with corona &amp; want  the lockdown to fail . So that when the whole world is praising Modiji, they want to defame him . @AkhandAryabrat @TheUntamedFire @bjp_laxmi https://t.co/135E4uYCPz",2020-04-15 14:26:56,en,[],[],"Kolkata, India",,
12,1250430667235528721,1035316710046294016,"I request every one on Twitter plz join
#ThankYouCoronaWarriors
Showing us light at the end of the tunnel are our Corona Warriors. Join the movement of thanking our warriors by registering on https://t.co/So3gPb2OHb
via NaMo App",2020-04-15 14:27:57,en,"[{'text': 'ThankYouCoronaWarriors', 'indices': [40, 63]}]",[],"Jaipur, India",,
13,1250430706519379978,958938644097654784,"#CoronavirusOutbreakindia
Pay attention to the hungry, both in this country and around the world. Pay attention to the poor. Corona warriors of #Bellary District have been fighting hunger since the lockdown.

Let's join our hands in feeding needy. #togetherwecanhelp
#RedCross https://t.co/yCtNnWoEt6",2020-04-15 14:28:06,en,"[{'text': 'CoronavirusOutbreakindia', 'indices': [0, 25]}, {'text': 'Bellary', 'indices': [144, 152]}, {'text': 'togetherwecanhelp', 'indices': [248, 266]}, {'text': 'RedCross', 'indices': [267, 276]}]",[],"कर्नाटक, भारत",,
14,1250431153548361735,717750960341159936,"@ppbajpai @DickDarryl @ndtv @fayedsouza @iamsrk @ajaydevgn @TheDeshBhakt do ppl line up for tobacco, gutkha, so let's see it helps corona declining?? https://t.co/QyGPvs4gGv",2020-04-15 14:29:53,en,[],[], India,,
15,1250431278274334720,28187659,Going live on a webcast with @bhupendrachaube on the ‘Lives vs Livelihood’ #Covid_19 debate https://t.co/NNTvpsfvm2,2020-04-15 14:30:23,en,"[{'text': 'Covid_19', 'indices': [75, 84]}]",[],"Mumbai, New Delhi",,
16,1250431336713564168,1232554241333612545,@BeingSalmanKhan India fights jihad &amp; corona. 🐍,2020-04-15 14:30:37,en,[],[],भारत ,,
17,1250431392648855553,3329775433,"Happy Birthday to Aarvi..

This is the best social distancing birthday celebration ever seen @SirfMayuR bhaiya 💐😊 https://t.co/zcHp4tQH6Q",2020-04-15 14:30:50,en,[],[],"Indore, Madhya Pradesh",,
18,1250431518196953089,4371631335,Other countries fight against only corona in india .                               1.coron                                                          2. Stupid people                           3.bukamari                                          4.Hindu muslim virus     #Moradabad,2020-04-15 14:31:20,en,"[{'text': 'Moradabad', 'indices': [268, 278]}]",[],"Haridwar Industrial Area, Hari",,
