,id_str,user_id,text,created_at,lang,entities_hashtags,entities_symbols,location,coordinates,time_zone
0,1256831484553424896,80771000,"Current status of evidence based management of covid
#Covid_19 https://t.co/1s5Ex2kb0W",2020-05-03 06:22:31,en,"[{'text': 'Covid_19', 'indices': [53, 62]}]",[],"New Delhi, India",,
1,1256831537372295169,1152236273467133953,"Thanks to our defence forces for expressing gratitude towards #CoronaWarriors. 

Our frontline warriors are doing an exemplary service to the nation in Covid crisis. https://t.co/CpGS7fN2ay",2020-05-03 06:22:43,en,"[{'text': 'CoronaWarriors', 'indices': [62, 77]}]",[],"Vijayawada, India",,
2,1256831545668710400,425236153,"This Day That Year: In 2002, @TheRealPCB recorded 5th biggest win in Tests Vs @BLACKCAPS at @Lahore 
@Inzamam08 scored 329 and @shoaib100mph took career best 6 for 11 &amp; handed defeat in just 3 days on this day. 
#Pakistan #records @ESPNcricinfo @ICC #coronavirus #lockdown #COVID https://t.co/MVfUd4KEav",2020-05-03 06:22:45,en,"[{'text': 'Pakistan', 'indices': [216, 225]}, {'text': 'records', 'indices': [226, 234]}, {'text': 'coronavirus', 'indices': [254, 266]}, {'text': 'lockdown', 'indices': [267, 276]}, {'text': 'COVID', 'indices': [277, 283]}]",[],#PU,,
3,1256831579420110849,706046638888882176,The Tamil Nadu Govt. aims to raise over Rs.10 crore for fighting Corona by forcing only Hindu temples to part with its money while the same Govt. spends nearly 22 crores on Muslims only for giving away rice for porridge during Ramzan. #सिर्फ_मंदिर_पैसे_क्यों_दे,2020-05-03 06:22:53,en,"[{'text': 'सिर्फ_मंदिर_पैसे_क्यों_दे', 'indices': [235, 261]}]",[],,,
4,1256831645987954688,1217762439288090624,"The spread of virus we see, but efforts and risk by frontline workers we don't. 
#socialsoda #corona #IndiaFightsCorona #HeroesOfCovid19 Connect with us on other platforms as well:- https://t.co/3KFaQok0Vh https://t.co/KtiB36FXmy",2020-05-03 06:23:09,en,"[{'text': 'socialsoda', 'indices': [81, 92]}, {'text': 'corona', 'indices': [93, 100]}, {'text': 'IndiaFightsCorona', 'indices': [101, 119]}, {'text': 'HeroesOfCovid19', 'indices': [120, 136]}]",[],,,
5,1256831662144606208,540176957,"@nsitharaman @DFS_India @narendramodi @PMOIndia @ABPNews @timesofindia @the_hindu @ZeeNewsEnglish 
Shouldn't govt worry as branches can be a potential hotspot for corona spread? Bankers lives are at risk as well as customers. 
#RIP_BankerUdayKamath
#TestRedZoneBankers https://t.co/DRl1H6SFEL",2020-05-03 06:23:13,en,"[{'text': 'RIP_BankerUdayKamath', 'indices': [227, 248]}, {'text': 'TestRedZoneBankers', 'indices': [249, 268]}]",[],"Surat, India",,
6,1256831741882511361,1024936189453692928,"We salute to Our Doctors, Medical staff, Police and all the corona warriors are doing an
incomparable job.
#HimachalModel",2020-05-03 06:23:32,en,"[{'text': 'HimachalModel', 'indices': [107, 121]}]",[],"Himachal Pradesh, India",,
7,1256831829610553344,734026469660200960,Cute https://t.co/TnqhNn3jAY,2020-05-03 06:23:53,en,[],[],Somnath-Vadodara,,
8,1256831864079151105,3227411880,"Join an exciting and interesting event 'Socio-Economic Impact Post Corona Lockdown' organised by Amber Agarwal
https://t.co/jAsLFziKZu
via NaMo App",2020-05-03 06:24:01,en,[],[],"Guntur, Andhrapradesh.India.",,
9,1256831908396371968,885930857743208450,"Look at the happy faces of doctors ❤️ 
#ThankYouArmy 
#ThankYouCoronaWarriors https://t.co/2Ya2J0sq5J",2020-05-03 06:24:12,en,"[{'text': 'ThankYouArmy', 'indices': [39, 52]}, {'text': 'ThankYouCoronaWarriors', 'indices': [54, 77]}]",[],Bharatvarsh ,,
10,1256831966625714176,1243895957562916864,@RJDforIndia Corona me bhi corruption hadd hai.,2020-05-03 06:24:26,en,[],[],India,,
11,1256832029053710337,1217762439288090624,"The lockdown period we expected, the extension we got. Let's pray that virus and lock down ends soon so that we can get back to our daily routine of survival)#socialsoda #Lockdown3 #IndiaFightsCorona #Corona
Connect with us on other platforms as well:- https://t.co/3KFaQok0Vh https://t.co/3jAmwU7fec",2020-05-03 06:24:41,en,"[{'text': 'socialsoda', 'indices': [158, 169]}, {'text': 'Lockdown3', 'indices': [170, 180]}, {'text': 'IndiaFightsCorona', 'indices': [181, 199]}, {'text': 'Corona', 'indices': [200, 207]}]",[],,,
12,1256832030060408832,100707672,"China testing it's medicine &amp; machine = People get angry

Pass the same as Pakistan developing = people feel pride https://t.co/uM95gXrHe2",2020-05-03 06:24:41,en,[],[],Ghatkopar,,
13,1256832087446831104,4536077557,"Flowers Raining at AIIMS Raipur by @IAF_MCC to applaud Corona Fighter..
@
#SalutetoDoctors #indianairforce
#ThankYouCoronaWarriors 
#IndiaFightsCoronavirus https://t.co/PvXBKn4Om4",2020-05-03 06:24:55,en,"[{'text': 'SalutetoDoctors', 'indices': [74, 90]}, {'text': 'indianairforce', 'indices': [91, 106]}, {'text': 'ThankYouCoronaWarriors', 'indices': [107, 130]}, {'text': 'IndiaFightsCoronavirus', 'indices': [132, 155]}]",[],INDIA,,
14,1256832098205220864,1369863542,@socialjurist Nobody is mentioning these teachers are corona warriors too..,2020-05-03 06:24:57,en,[],[],,,
15,1256832102596665344,447724626,"@ShekharGupta @RamaNewDelhi PADMA VHUYAM announced by Modi 2 trap Covid, unexpectedly migrants entered, miserably their inability forced them 2 reach wrong exit With all fanfare &amp; expert bureaucrats Modi unable 2 open d right exit gate offered d job 2 states Fear is they may cram exit gate",2020-05-03 06:24:58,en,[],[],"Chennai, India",,
16,1256832103620112384,3227411880,"Join an exciting and interesting event 'Coronavirus vaccine | Blocking tau spread | Sex differences in autism' organised by Raviranjan Singh
https://t.co/4ydZ3QEVJN
via NaMo App",2020-05-03 06:24:58,en,[],[],"Guntur, Andhrapradesh.India.",,
17,1256832127905099777,4880780674,"We  (The KIIT Family) are really proud and thanks to Indian Air Force shower flower petals on our COVID Warriors at  KIMS COVID 19 Hospial  to encourage &amp; defeat CORONA Pandemic.
JAY HIND https://t.co/DM1bdwqxVy",2020-05-03 06:25:04,en,[],[],"Bhubaneswar, Odisha, India",,
18,1256832146565550080,3227411880,"Join an exciting and interesting event 'Bhandup Free Fitness Training Week 176: 8K/10K Corona Warriors Run in a Home' organised by Sonali Mehta
https://t.co/M2U3w4CZcp
via NaMo App",2020-05-03 06:25:09,en,[],[],"Guntur, Andhrapradesh.India.",,
19,1256832216488792064,1678403144,"@ANI Thank you #Warriors for felicitation &amp; boosting morale of #Corona #Frontliners.. let's governments also give similar privileges &amp; benefits like #Warriors in #Warzone,otherwise no need of naming #CoronaWarriors..We will continue our job diligently..Big thanks #ARMY #AirForce #Navy",2020-05-03 06:25:25,en,"[{'text': 'Warriors', 'indices': [15, 24]}, {'text': 'Corona', 'indices': [67, 74]}, {'text': 'Frontliners', 'indices': [75, 87]}, {'text': 'Warriors', 'indices': [157, 166]}, {'text': 'Warzone', 'indices': [170, 178]}, {'text': 'CoronaWarriors', 'indices': [207, 222]}, {'text': 'ARMY', 'indices': [272, 277]}, {'text': 'AirForce', 'indices': [278, 287]}, {'text': 'Navy', 'indices': [288, 293]}]",[],"New Delhi, India",,
20,1256832327302279169,3227411880,"Join an exciting and interesting event 'Fighting Corona An Administrators Perspective. Expections from citizens.' organised by Arvind Sharma
https://t.co/aD0eM4kToL
via NaMo App",2020-05-03 06:25:52,en,[],[],"Guntur, Andhrapradesh.India.",,
21,1256832331668578305,734621015314190336,🙏🇮🇳👇 Indian Airforce Encouraging the Nation &amp; The Corona Warriors in This Time Of Corona Crisis 🔔👏🤗🇮🇳🙏 https://t.co/Ue0tAez73Z,2020-05-03 06:25:53,en,[],[],Gaziabad U.P.🇮🇳,,
22,1256832333832839170,1678403144,"@DDNewslive @IAF_MCC Thank you #Warriors for felicitation &amp; boosting morale of #Corona #Frontliners.. let's governments also give similar privileges &amp; benefits like #Warriors in #Warzone,otherwise no need of naming #CoronaWarriors..We will continue our job diligently..Big thanks #ARMY #AirForce #Navy",2020-05-03 06:25:53,en,"[{'text': 'Warriors', 'indices': [31, 40]}, {'text': 'Corona', 'indices': [83, 90]}, {'text': 'Frontliners', 'indices': [91, 103]}, {'text': 'Warriors', 'indices': [173, 182]}, {'text': 'Warzone', 'indices': [186, 194]}, {'text': 'CoronaWarriors', 'indices': [223, 238]}, {'text': 'ARMY', 'indices': [288, 293]}, {'text': 'AirForce', 'indices': [294, 303]}, {'text': 'Navy', 'indices': [304, 309]}]",[],"New Delhi, India",,
23,1256832350635229184,3227411880,"Join an exciting and interesting event '*Fighting Corona - Which should come first,Duties or Rights???*' organised by Arvind Sharma
https://t.co/7hvImnclSC
via NaMo App",2020-05-03 06:25:57,en,[],[],"Guntur, Andhrapradesh.India.",,
24,1256832367068676096,3258503761,Right https://t.co/VgMDAHgtsU,2020-05-03 06:26:01,en,[],[],"New Delhi, India",,
25,1256832373703847936,3227411880,"Join an exciting and interesting event '*Arogya Setu - Tech Armour Against Corona?*' organised by Arvind Sharma
https://t.co/sNXNNLdnAZ
via NaMo App",2020-05-03 06:26:03,en,[],[],"Guntur, Andhrapradesh.India.",,
26,1256832378460307456,1248949538951294976,"@aajtak Coronavirus ki Jung 
Hum fighter's Plan se ladenge
Fir Hospital medical staff Aur Doctor ho ka kya kaam hai
Aaj wale News channel wale Pagal hogaye hai TRP ke chakker mein",2020-05-03 06:26:04,en,[],[],Karimnagar,,
27,1256832392959938560,1151158297619099648,"We salute our healthcare fraternity who have been our frontline warriors in this battle against #COVID19. Their hardwork &amp; selflessness is inspiring. Visuals from Vizag where navy helicopter showered flowers on our #HealthcareHeroes
#APFightsCorona #IndiaSalutes https://t.co/Zh09KRy6or",2020-05-03 06:26:07,en,"[{'text': 'COVID19', 'indices': [96, 104]}, {'text': 'HealthcareHeroes', 'indices': [219, 236]}, {'text': 'APFightsCorona', 'indices': [237, 252]}, {'text': 'IndiaSalutes', 'indices': [253, 266]}]",[],,,
28,1256832405110878208,74445844,"With fly past petal showers armed forces expressed gratitude 🙏 to corona warriors at Bhopal #bhopalfightscorona #indianarmy 

@majorgauravarya @MajDPSingh @MajorPoonia 
 @adgpi @CMMadhyaPradesh @ChouhanShivraj @CollectorBhopal https://t.co/SwG0JT6YN0",2020-05-03 06:26:10,en,"[{'text': 'bhopalfightscorona', 'indices': [92, 111]}, {'text': 'indianarmy', 'indices': [112, 123]}]",[],"Darmstadt, Germany",,
29,1256832416062124032,1163748840819707905,@rashtrapatibhvn @PMOIndia @narendramodi @akshaykumar @GautamGambhir @drharshvardhan @myogiadityanath @KapilMishra_IND @AmitShah @news24tvchannel @YAAC2020 @MoHFW_INDIA @COVIDNewsByMIB #AcknowledgePharmacist #Aaj_tak #coronawarriors #COVID19 @ZeeNewsEnglish  A message for you. https://t.co/M2iHFk66al,2020-05-03 06:26:13,en,"[{'text': 'AcknowledgePharmacist', 'indices': [185, 207]}, {'text': 'Aaj_tak', 'indices': [208, 216]}, {'text': 'coronawarriors', 'indices': [217, 232]}, {'text': 'COVID19', 'indices': [233, 241]}]",[],"New Delhi, India",,
30,1256832474421661696,97903545,#lockdownindia &amp; #COVID19 helping us become #wildgeese ❤️ @MaOlPoetry #PoemADay https://t.co/0LeDbBEtIw,2020-05-03 06:26:27,en,"[{'text': 'lockdownindia', 'indices': [0, 14]}, {'text': 'COVID19', 'indices': [21, 29]}, {'text': 'wildgeese', 'indices': [48, 58]}, {'text': 'PoemADay', 'indices': [74, 83]}]",[],"New Delhi, India",,
31,1256832484987322368,1921500042,"ॐ !

PM Modi discusses Covid-19 crisis with Thai PM
https://t.co/Ma3BMdMrMI via NaMo App https://t.co/CVX7VuHb1z",2020-05-03 06:26:29,en,[],[],"Now-Govind chak,Sonpur, Bihar",,
32,1256832536925204483,784492425918214144,"2/2 specific location in front of Sai Aashish building. Today there are around 200people on the street. Not maintaining social distancing, I know police &amp; other officials are very busy but I feel if  let go like this, we will never be able to beat Corona. Please do the needful🙏",2020-05-03 06:26:42,en,[],[],"Mumbai, India",,
33,1256832551940845569,153071190,"@PMOIndia @narendramodi @mlkhattar When #Gurugram is still reporting #COVID19 cases how come it's in Orange Zone, would request states not to hurry in opening of economy and waste all efforts put in till now. 
https://t.co/7ZpNzlNEz9",2020-05-03 06:26:45,en,"[{'text': 'Gurugram', 'indices': [40, 49]}, {'text': 'COVID19', 'indices': [69, 77]}]",[],Gurgaon,,
34,1256832650993471488,2795920104,How exactly is this helping to doctors &amp; health workers? https://t.co/6Tk4mKs6en,2020-05-03 06:27:09,en,[],[],Thane,,
35,1256832726621028352,775925408,"President #RamNathKovind applauds PM @narendramodi for taking timely &amp; effective steps to tackle COVID-19 pandemic
https://t.co/4FpAnyxjci https://t.co/VaEoAAnGUg",2020-05-03 06:27:27,en,"[{'text': 'RamNathKovind', 'indices': [10, 24]}]",[],Delhi,,
36,1256832870607400960,1088419585198645248,"#backtobasics
We can live without shopping &amp;
fast food. Even Shadi can happen with limited people
Life is easy. Don't complicate it!
#COVID__19 #COVID #CoronaWarriors #NewNormal",2020-05-03 06:28:01,en,"[{'text': 'backtobasics', 'indices': [0, 13]}, {'text': 'COVID__19', 'indices': [137, 147]}, {'text': 'COVID', 'indices': [148, 154]}, {'text': 'CoronaWarriors', 'indices': [155, 170]}, {'text': 'NewNormal', 'indices': [171, 181]}]",[],Maharashtra,,
37,1256832926852845569,74445844,"With fly past petal showers armed forces expressed gratitude 🙏 to corona warriors at Bhopal #bhopalfightscorona #indianarmy 

@majorgauravarya @MajDPSingh @MajorPoonia 
 @adgpi @CMMadhyaPradesh @ChouhanShivraj @CollectorBhopal https://t.co/gQ7QFncuj4",2020-05-03 06:28:15,en,"[{'text': 'bhopalfightscorona', 'indices': [92, 111]}, {'text': 'indianarmy', 'indices': [112, 123]}]",[],"Darmstadt, Germany",,
38,1256832957932699648,1086320850,"Good to see active, positive action in #startups ecosystem. #founders  #entrepreneurs go for it. 
#Entrepreneurship #vc https://t.co/eGvTjKRv7Z",2020-05-03 06:28:22,en,"[{'text': 'startups', 'indices': [39, 48]}, {'text': 'founders', 'indices': [60, 69]}, {'text': 'entrepreneurs', 'indices': [71, 85]}, {'text': 'Entrepreneurship', 'indices': [98, 115]}, {'text': 'vc', 'indices': [116, 119]}]",[],"Bangalore, India",,
39,1256832959031545857,799639759505199104,"It is very disheartening to know that when entire world is fighting against Corona, at one side our Soldiers got martyred to save our country from terrorist and at other we also lost our fellow banker and other #CoronaWarriors. Nation is always indebted to them.
""RIP Bravehearts""",2020-05-03 06:28:22,en,"[{'text': 'CoronaWarriors', 'indices': [211, 226]}]",[],India,,
40,1256833046990303234,1861287276,Indian Air Force chopper showers flower petals on Victoria Hospital in #Bengaluru to express gratitude towards medical professionals fighting #COVID19. @IndianExpress https://t.co/vDvi2K7f9N,2020-05-03 06:28:43,en,"[{'text': 'Bengaluru', 'indices': [71, 81]}, {'text': 'COVID19', 'indices': [142, 150]}]",[],"Bengaluru, Karnataka",,
41,1256833064405213185,841511391391563776,"Indian Airforce salutes COVID Warriors❤
#COVID19
#salutecoronawarriors 
#JaiHind🇮🇳 https://t.co/mo8NLMumgg",2020-05-03 06:28:48,en,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'salutecoronawarriors', 'indices': [49, 70]}, {'text': 'JaiHind', 'indices': [72, 80]}]",[],"New Delhi, India",,
42,1256833067785678849,79120620,"Unprecedented Delhi skies today. I have never seen such military might in the sky other than Republic Day. Thank you to all the Corona Warriors. Stay home, stay safe. https://t.co/yCjP6XEye1",2020-05-03 06:28:48,en,[],[],"New Delhi, India",,
43,1256833102443405312,850795721880199169,Banker are working in red zone plz provide corona kit#RIP_BankerUdayKamath,2020-05-03 06:28:57,en,[],[],,,
44,1256833112538923009,775925408,"Milestone for India: A million coronavirus tests so far says ICMR, thanks to PM @narendramodi for taking all necessary action to fight against Corona. 
https://t.co/8xrYaV1Rxv https://t.co/6mlPW9ILsN",2020-05-03 06:28:59,en,[],[],Delhi,,
45,1256833175172583424,240113675,"A Big Salute to Indian Airforce for their heart wining act for all Corona Warriors..

Jai Hind, Jai Bharat...

@IAF_MCC @PMOIndia",2020-05-03 06:29:14,en,[],[],,,
46,1256833220433321985,900823129445892096,Salute to all Corona warriors and Indian Army,2020-05-03 06:29:25,en,[],[],Bhopal ,,
