,id_str,user_id,text,created_at,lang,entities_hashtags,entities_symbols,location,coordinates,time_zone
0,1251731417475813376,1242668553842692097,Shame on people who are harassing the covid warriors @Manoj_ParidaIAS @DgpChdPolice https://t.co/bQnhYJ9bi3,2020-04-19 04:36:40,en,[],[],"Chandigarh, India",,
1,1251731483447848961,1533476935,But China is not a party to Rome statute therefore first of all it needs recommendation of security council. https://t.co/9T5rYz6gQG,2020-04-19 04:36:56,en,[],[],Eastern India,,
2,1251731518222790656,132480999,"Your channel is fully focus on Corona only not on any comunal agenda, really great @PrannoyRoyNDTV @SreenivasanJain https://t.co/PQpEaAUniW",2020-04-19 04:37:04,en,[],[],"Mumbai, India",,
3,1251731552351981569,2538922172,Write and speak against the failure of Modi government to contain Covid 19 https://t.co/9DbTX1LZNu,2020-04-19 04:37:12,en,[],[],"Rajasthan, India",,
4,1251731624120725504,33831872,14% of the total cases cured. Hope this % increases and % of total cases decreases. #IndiaFightsCorona https://t.co/UxFpeiWmQF,2020-04-19 04:37:29,en,"[{'text': 'IndiaFightsCorona', 'indices': [84, 102]}]",[],"Hyderabad, India",,
5,1251731709709737984,181491054,A 50-year-old person who had tested positive for #COVID19 &amp; passed away at around 12 am: Gurugram District Administration #Haryana,2020-04-19 04:37:50,en,"[{'text': 'COVID19', 'indices': [49, 57]}, {'text': 'Haryana', 'indices': [126, 134]}]",[],mumbai,,
6,1251731772532043776,292784016,Only court of Law. https://t.co/L5UVuaYvNZ,2020-04-19 04:38:05,en,[],[],India,,
7,1251731786901536768,59175559,Help the initiative. Any amount is big enough to make an impact @SrBachchan @AnushkaSharma @imVkohli @iamsrk @kiranshaw @kris_sg @RNTata2000 https://t.co/BXZ66KzkVK,2020-04-19 04:38:08,en,[],[],Bangalore,,
8,1251731949103669249,65562050,Why your government is manipulating number of Covid19 patients in Mumbai.??? Any logic? https://t.co/e2ouLEx7Lv,2020-04-19 04:38:47,en,[],[],"Mumbai, India",,
9,1251732049695617026,827663929,"Covid-19 Disinfection Tunnel

Sanitise before u enter your home or office or anywhere. 
Precautions are better for health. 
Single person 
4 feet 5 nosal ||
6 feet 6 nosal ||

Dual Person 
4 feet 10 nosal ||
6 feet 12 nosal || https://t.co/ay33AlQsCf",2020-04-19 04:39:11,en,[],[],Guwahati,,
10,1251732079831703552,198397621,#VandeMataram #Oneworld #Together Let’s fight this #COVID #StayHomeStaySafe #SundayThoughts #God 😷🙏🏻 https://t.co/dm5ts10WnT,2020-04-19 04:39:18,en,"[{'text': 'VandeMataram', 'indices': [0, 13]}, {'text': 'Oneworld', 'indices': [14, 23]}, {'text': 'Together', 'indices': [24, 33]}, {'text': 'COVID', 'indices': [51, 57]}, {'text': 'StayHomeStaySafe', 'indices': [58, 75]}, {'text': 'SundayThoughts', 'indices': [76, 91]}, {'text': 'God', 'indices': [92, 96]}]",[],Bangalore,,
11,1251732176107864064,2530669350,"Are you socially Responsible?
 Doing your bit is vital for your and safety of those around you.
#covid19 #illness #panademic #stayindoors #staysafe #safetyfirst #india #corporatesocialresponsibility #sociallyresponsible #serveindia https://t.co/aaEl0Mt0kY",2020-04-19 04:39:41,en,"[{'text': 'covid19', 'indices': [96, 104]}, {'text': 'illness', 'indices': [105, 113]}, {'text': 'panademic', 'indices': [114, 124]}, {'text': 'stayindoors', 'indices': [125, 137]}, {'text': 'staysafe', 'indices': [138, 147]}, {'text': 'safetyfirst', 'indices': [148, 160]}, {'text': 'india', 'indices': [161, 167]}, {'text': 'corporatesocialresponsibility', 'indices': [168, 198]}, {'text': 'sociallyresponsible', 'indices': [199, 219]}, {'text': 'serveindia', 'indices': [220, 231]}]",[],"Hyderabad, India",,
12,1251732227412508673,303132193,"@PMOIndia @narendramodi Sir, please take strict action for all responsible for such incidents. Start people penalised financially as well and use that money for corona warriors. https://t.co/yt1tvNMTQW",2020-04-19 04:39:53,en,[],[],India,,
13,1251732247046127616,4653096134,"Family??🙄🙄
Is this a joke or what?? https://t.co/3ZCPZQr6Sq",2020-04-19 04:39:58,en,[],[],Within d framework of humanity,,
14,1251732324636602368,1250438621523410946,"Donate in #cmrelieffund .... Bring your helping hands towards needy...Let's unite to fight against Corona under strong leadership of @OfficeofUT ....
#coronavirus #IndiaFightsCorona #MaharashtraWithCM 
@CMOMaharashtra @ShivSena @Saamanaonline @AUThackeray https://t.co/zBHY8k5eTO",2020-04-19 04:40:16,en,"[{'text': 'cmrelieffund', 'indices': [10, 23]}, {'text': 'coronavirus', 'indices': [150, 162]}, {'text': 'IndiaFightsCorona', 'indices': [163, 181]}, {'text': 'MaharashtraWithCM', 'indices': [182, 200]}]",[],हडपसर - पुणे,,
