,date,tweet_text
0,2020-03-25 18:13:20,Best hospital in Kasaragod run by Dr Bhat his wife haa been forcibly bought by Ms &amp; retardation of hospital began t… https://t.co/tWMyrW3pjB
1,2020-03-25 18:14:37,@devenrd @corona They should just add 'killer' to the existing name.
2,2020-03-25 18:15:14,Btw there was a scene where Prince Charles and the Queen. Dekh ke corona aa gaya 😭
3,2020-03-25 18:15:35,"Yes , it’s not a spontaneous interview but that’s not important. He is a strong willed man with the right intention… https://t.co/21NjIKDZGD"
4,2020-03-25 18:15:51,You are now at 3rd position and topping the list of Corona patients. What are you doing. Lockdown US. https://t.co/ZeWs2ZAM8C
5,2020-03-25 18:18:31,@omnimutant @CaDalmia @SPatel_Indian @INCMohitJain Those cases not infectious that they risk their life...but coron… https://t.co/z1TUt8xNDC
6,2020-03-25 18:19:25,"#StrangerThanFiction
#TheEyesOfDarkness
Conclusion :
The #Corona started from Wuhan Town, heavy death occurs in Chi… https://t.co/k3eXG0IltK"
7,2020-03-25 18:20:17,"@narendramodi sir 
we are sorry sir.. we are not able to understand ur Pain in the bottom of ur heart..
We can see… https://t.co/gIFRgeblNW"
8,2020-03-25 18:20:29,"Corona virus is not a joke 
God,please protect my family,friends and humanity https://t.co/MtfRLee7bt"
9,2020-03-25 18:21:16,I have bag manufacturing factory in mumbai I can make mask and corona dress non profit basis for Doctors/police/mun… https://t.co/rYAZ6iwMoj
10,2020-03-25 18:21:30,"Prince Charles finally got his

CORONAtion

'👑'

#coronavirus 
#corona"
11,2020-03-25 18:24:12,Very good https://t.co/GkuVPlsSO9
12,2020-03-25 18:24:12,"Wait for it 😜 When Classics meet Comedy meets Corona ☣ manoranjan in nationwide lockdown!
.
#gurudutt #pyaasa… https://t.co/KzhDY0oqds"
13,2020-03-25 18:24:58,"@amitmalviya Mr Fake IT cell head,
Do u remember it was BJP and Modi Ji telling in every election rally that you wi… https://t.co/qPhgu01DzE"
14,2020-03-25 18:25:23,"@narendramodi 
@capt_amarinder 
@drharshvardhan
Sir we r the 5th biggest growing economy in the world and the Docto… https://t.co/U2AOiKHmMd"
15,2020-03-25 18:27:06,@Reuters People feel it only affects cold countries &amp; people feels corona won’t affect the people who drinks much alcohol
16,2020-03-25 18:27:19,@AmazonHelp Sure will keep waiting btw just a disclaimer Iam ok even if tell me that due to the corona fight it wou… https://t.co/QoT7jy1yUH
17,2020-03-25 18:27:24,Well done @DelhiPolice https://t.co/FOh2NM1D8v
18,2020-03-25 18:28:12,Lock our gate from inside upto 14.4.2020 to keep corona away /finish. https://t.co/0z3pHrGdLg
19,2020-03-25 18:28:51,@HMLokesh Good to know. Make them also know the corona treatment by @BlrCityPolice . 👏👏
20,2020-03-25 18:28:57,"@desimojito Same feeling I shared few days ago! China ki permanent membership chin leni chahiye!
https://t.co/zISDhTSTUd"
21,2020-03-25 18:29:33,"#StrangerThanFiction
#TheEyesOfDarkness
Now British secret agents James Bond 007 enters in China with his girl frie… https://t.co/hkaeserxSu"
22,2020-03-25 18:29:49,"Designed By:- The Rohit Sharma
.
#therohitsharmapdt #graphicdesigncommunity #graphicdesign #graphicdesigncentral… https://t.co/lvLFCrP7ue"
23,2020-03-25 18:30:49,Absolutely...to be investigated https://t.co/Btj3u5rqX2
24,2020-03-25 18:31:19,Chinese Art of War. https://t.co/3GvpJiZQOX
25,2020-03-25 18:31:27,25 March 2020 Today's Headlines About Corona Virus in India 👇🏻https://t.co/8k86Cxa5On https://t.co/ThlkQVVXBX
26,2020-03-25 18:31:36,#ShameOnNitishKumar see this too @PMOIndia https://t.co/g4sNXoWNh7
27,2020-03-25 18:32:55,"@iamnarendranath No test no corona virus patient ! Logic is simple , do aggressive test and thus we can isolate pat… https://t.co/hB7xBpuo5L"
28,2020-03-25 18:33:34,This is our Bihar @RubikaLiyaquat #ShameOnNitishKumar https://t.co/X6Kmn67NXj
29,2020-03-25 18:34:16,@bertyashley @sreshthamondal @SiddhrthKnkaria @sai_ganesh @_logik @ajaypetera Nurses not wearing masks at Corona wa… https://t.co/FlnpNI2cxD
30,2020-03-25 18:34:17,"Dear, chief minister @NitishKumar
 we need a helpline number for corona virus. Where we can give you the details of… https://t.co/NWYXzOaHob"
31,2020-03-25 18:34:39,"The corona impact is unprecedented. This can be taken as an opportunity to rectify our mistakes, change our lifesty… https://t.co/5IsepUTGL6"
32,2020-03-25 18:34:42,"@BlrCityPolice  Sir, A lady from my neighbor hood building throwing garbage at night infront of our apartment.We ar… https://t.co/rqbwvznNoj"
33,2020-03-25 18:34:44,@narendramodi @PMOIndia Saheb ji please keep international borders sealed too. so that no imported corona enters ou… https://t.co/TpUsJIjM6n
34,2020-03-25 18:36:31,Exactly he does these cheap things #ShameOnNitishKumar blocking won't work. People will block you once Corona gets… https://t.co/NuUsVCHsBB
35,2020-03-25 18:36:54,@ArnabGoswamiRtv They are illiterates...People are doing their jobs and duties...par humko toh corona  felna hai..
36,2020-03-25 18:36:58,"Authorities to find,IF VEDIO IS RECENT, what is going on and what level of EXPOSURE TO CORONA IS BEING DONE?? https://t.co/cZYUveSyfh"
37,2020-03-25 18:37:35,"Corona virus alert ...,beautiful song🙂 https://t.co/Up9DSlQDOF"
38,2020-03-25 18:37:36,@Sulci_Gyri Anesthesize corona first
39,2020-03-25 18:37:44,Congrats. https://t.co/5RcyGWupN9
40,2020-03-25 18:37:54,It will easy to lock down one ward if any postive #corona case identified in any ward rather than examining all the… https://t.co/MBlkhZaY59
41,2020-03-25 18:38:07,@Reuters In Our India after many restrictions taken out not to spread corona... while the positive number goes increasing day by day.
42,2020-03-25 18:38:11,"@zoru75 Bro, he'll release a Go Corona Thali walla Music Video as original content... You really want / need that ?"
43,2020-03-25 18:39:14,"A wise man, when evils are approaching, hides himself; but fools pass on, and will be punished.
Proverbs 27:12… https://t.co/FbIZICmjod"
44,2020-03-25 18:39:38,@narendramodi can we use prisoners to manufacture facemask ? or any other which are needed to fight  corona
45,2020-03-25 18:39:59,"Unfortunately, nobody is listening or talking about that kind of package to compensate for coranavirus impact on In… https://t.co/JX16DyGaUX"
46,2020-03-25 18:40:30,"@ArvindKejriwal  dear sir, you are doing all the possible and appreciable efforts to combat corona while keeping ne… https://t.co/1i7rfAKftV"
47,2020-03-25 18:41:40,@effucktivehumor Arrest her. Take ₹1000 fine for relief fund. Ask her to donate blood. Also depute her for 15 days… https://t.co/F7t9HMTblo
48,2020-03-25 18:41:46,Important Corona demographic data  of India vs italy. #FightCorona #indiastayssafe https://t.co/DAdCgRPuN6
49,2020-03-25 18:42:19,Hi..There has been a tremendous increase in mosquitoes at Bhanu Nagar as there has been no cleanliness in this loca… https://t.co/I6g04NCBSr
50,2020-03-25 18:43:36,Hi Amit Sir Please Pray 🙏🙏 All World🌏 Or Save As Thank u... GO CRONA GO.. And Amit sir Aap Hamesha Bade Log Ko Repl… https://t.co/3ORsnTT78m
51,2020-03-25 18:43:47,"Stay safe, be careful, stay at home,  take care, stay fit 💪👊😷
#corona #quarantine #worldfightcorona… https://t.co/QEUs8R2O6P"
52,2020-03-25 18:43:56,"Salutt To All Our Doctor's🙏🙏,, Fighting with corona👏👏....Takeing Risk for Uss.. Plzz Stay At Home... 🇮🇳🇮🇳 https://t.co/I091uCSinZ"
53,2020-03-25 18:46:01,"@narendramodi dear sir 

I believe in you hope everything get well soon but in emergency case use our trains for co… https://t.co/8z0Sk9GrGg"
54,2020-03-25 18:46:46,@ashokgehlot51 dear sir I believe in you hope everything get well soon but in emergency case use our trains for cor… https://t.co/dsLaMaP4wP
55,2020-03-25 18:46:49,There is very long queue of patients who want their corona test done but no doctor is there .what if any person wou… https://t.co/WAdBKYsVcM
56,2020-03-25 18:47:25,"@KiranKS Positivity, not the Corona +ve but among people"
57,2020-03-25 18:48:15,"@PMOIndia @narendramodi Sir, I appreciate your efforts for nation building and the decision taken to protect us fro… https://t.co/HuryMZqdwq"
58,2020-03-25 18:48:31,Digital Marketing 21  days online course for all in this #covid_19 #corona #coronavirus stay at home and learn with… https://t.co/H8AX7PCXpD
59,2020-03-25 18:48:54,"Save this post
A. Post 30- 31st March we may decline in corona case specially Mumbai 
B. Summer will further slow t… https://t.co/dKjFq98ieL"
60,2020-03-25 18:49:15,Digital Marketing 21  days online course for all in this #covid_19 #corona #coronavirus stay at home and learn with… https://t.co/h94eyzRhGr
61,2020-03-25 18:49:18,"@ArvindKejriwal @PMOIndia @HUDgovtnz @narendramodi @DelhiPolice
1/1 Dear Sir , in this scenario when a devil Corona… https://t.co/SbfKJgZ9J9"
62,2020-03-25 18:50:19,"Designed By:- The Rohit Sharma
.
#therohitsharmapdt #graphicdesigncommunity #graphicdesign #graphicdesigncentral… https://t.co/iCCHk7b7RF"
63,2020-03-25 18:50:41,"Fight against Corona ""Children Army"" https://t.co/7esIArtHSd"
64,2020-03-25 18:51:17,"CHINA must be dragged into International Court and stripped of its VETO power in the UN
 'Crime against humanity'
C… https://t.co/1nVEfcLO3p"
65,2020-03-25 18:51:23,"@narendramodi I have sent this full video on Corona Help desk no. 9013151515.

Regards,
Jitendra Kumar Sahni"
66,2020-03-25 18:52:21,"@narendramodi @himantabiswaIt It is said, presently Covid-19 has no cure neither any medicine is available to kill… https://t.co/8CcIXxcyu9"
67,2020-03-25 18:52:28,"A policeman's kid is crying &amp; telling his dad not to go out as ""there's corona outside"". Spare a thought for our… https://t.co/MODP3s4LKG"
68,2020-03-25 18:52:47,It's not corona virus the right word for it is #ChineseVirus19 #ChineseVirusCorona #ChineseVirus https://t.co/UOS9Gqdfqp
69,2020-03-25 18:52:51,"Ghar kaise chalau Sir, job cheen li humse,  aap keh rhe job nhi jayegi but Fighting with corona, we all are with yo… https://t.co/ZyUCgk9SJ5"
70,2020-03-25 18:52:55,"While in the midst of Corona Virus reaching India, captured a boat filled of foreigners at Yamuna Ghat, Mathura… https://t.co/UMnekSNbCC"
71,2020-03-25 18:53:59,"@narendramodi Fight Against Corona ""Children Army"" https://t.co/nQY02pNhsY"
72,2020-03-25 18:54:01,One cannot expect anything better from Modi. https://t.co/eUNaHxhT3g
73,2020-03-25 18:54:44,"@pbhushan1 This time there is no question of Rich People or Poor People.
Please do not make fools people you also k… https://t.co/MSfw7gtx21"
74,2020-03-25 18:55:31,"@ABPNews @ZeeNews @HTGurgaon @stvharyananews 

Corona ke darr se jung..bache ne ki music k sang.

Self composed |bi… https://t.co/YN1JLouef2"
75,2020-03-25 18:55:40,"Corona virus se Dro nhi Lrro 
   Get Ready to Fight 🤜🏻🤜🏻
              🇮🇳🇮🇳"
76,2020-03-25 18:55:46,Very good job... Very nicely spreading corona... Sab marenge... 21 din bad agar kisi ek ko bhi corona h to...… https://t.co/ClnamcJPZM
77,2020-03-25 18:56:00,The patients are waiting in long queues.the doctors are not taking it seriously. patients are waiting for their cor… https://t.co/zf5Zd4B8U6
78,2020-03-25 18:56:17,"Policeman taking a Corona patient ,
to hospital in USA. 🥰
#CoronavirusLockdown #Lockdown21 https://t.co/zNZlWm9T6E"
79,2020-03-25 18:56:17,Please take of our poor people on roads where hunger kills them before corona to all governments @PMOIndia… https://t.co/pGgpVIv1FR
80,2020-03-25 18:57:16,"If this video creates atleast 1% awareness will be grateful .
I am staying at home ,r u?
#corona #21dayslockdown… https://t.co/Obg9PkhK3S"
81,2020-03-25 18:57:17,"Following d fine example of d Left MLAs from WB, the @cpimspeak MLA from d Dahanu (ST) seat in Maharashtra, Vinod N… https://t.co/iJWLlGET3J"
82,2020-03-25 18:57:29,Thank You DADA...♥️🇮🇳♥️ https://t.co/R7qo5tiCTa
83,2020-03-25 18:57:33,@AnuChoudhury2 Where Is Your Message Regarding Corona Crisis Or Advise To Your Fans ? Please Share
84,2020-03-25 18:57:48,"In this Hour, We need to support our Soldiers, Polices, And Doctors and nurses, all medical teams, our politicians.… https://t.co/DNwl3ZyLoV"
85,2020-03-25 18:57:54,Chat About #Corona https://t.co/CnE8aGRnDV via @YouTube @nishjamvwal #StopTheSpreadOfCorona #COVID2019
86,2020-03-25 18:58:22,Corona watch App link: https://t.co/Ay53Tcas6Y https://t.co/pnNwvEo9gT
87,2020-03-25 18:58:32,"I'm finding where is #corona .

#handwash #coronacapital #coronavirusbrazil #coronaindia #coronaitaly #coronairan… https://t.co/bUKrv8n78Q"
88,2020-03-25 18:59:44,"#Indians having another level of #timepass during #21daylockdown ..

Meanwhile #corona : https://t.co/YHgUxY8lcM"
89,2020-03-25 19:00:44,"In Modern India, Clanging Thalis in Streets to signify victory over Corona shall rank as the stupidest and most hys… https://t.co/jjNLzrtaKd"
90,2020-03-25 19:00:57,"@Livetotravelsa1 @narendramodi Yup
And as far as I can see Tourism Industry will take long time to get back even af… https://t.co/9hXalIbaPK"
91,2020-03-25 19:01:29,This Novel Corona Virus has started developing a belief of fraternity among entire people on this planet... #COVID2019
92,2020-03-25 19:02:44,"12 Foreign Muslim Maulvi caught in Patna 
11 Foreign muslim maulvi caught near Ranchi 
@PMOIndia seems a sign to su… https://t.co/pSCyVaZysz"
93,2020-03-25 19:03:13,"@narendramodi @himantabiswa I strongly believe my treatment will cure the patient,but for that I need samples of a… https://t.co/BAOWySYvAM"
94,2020-03-25 19:05:12,"@majorgauravarya @MajorPoonia 
Request you please share a video over this issue mention in my tweet. 

So many peop… https://t.co/xucp5oLVIZ"
95,2020-03-25 19:05:18,Corona Never  Kill Me Baby But your eyes  is Killing Me !
96,2020-03-25 19:05:24,Great Step !  We hope you won't abandon them after Corona Panic ☮️ https://t.co/lUnpkhGSLR
