,date,tweet_text
42,2020-03-25 06:19:04,This is the best time to read alone and stay away from the noise of the world. Please stay at home. wherever you ar… https://t.co/rX6cfR0DJC
43,2020-03-25 06:19:08,Knowing FM SPECIALLY A FM HAVING KNOWLEDGE OF STOCK MARKET LIKE. PIYUSH GOYAL ....ECONOMICAL SITUATION WOULD HAVE B… https://t.co/Ypuw5txoZe
44,2020-03-25 06:19:44,You are not fit to live in an civilised society. Please introspect and start learning yoga and do meditation and re… https://t.co/kVwiQmaOoP
45,2020-03-25 06:20:02,Meditation and mindfulness tips for coping with the corona virus pandemic-As people become more anxious as they sel… https://t.co/Zo65AtakIv
46,2020-03-25 06:20:09,"Cabinet Meeting on #Corona 
Maintaining complete #SocialDistancing https://t.co/0wSgppzSg1"
47,2020-03-25 06:21:41,#india #corona #coronavirus #staysafe #pandemia #goa #goatrance #goapeople #goaparty #covid_19 #covid19 #behealthy… https://t.co/f6xSXXd9Lv
48,2020-03-25 06:21:45,Tony Stark made the MARK-I suit in a cave somewhere in Afghanistan..... wondering what should I do siting back home… https://t.co/TgDPsRIG9b
49,2020-03-25 06:22:26,@Sidbee17 @DeshNeeti @manoj_voice @swati_gs Prayer is for annihilation of corona
50,2020-03-25 06:23:04,@frida_most_ They are basically shouting slogan against Corona...they r really cute...!!!
51,2020-03-25 06:23:14,"@TV9Marathi 
Kindly help us to break the chain of corona https://t.co/bLLKk8wgrA"
52,2020-03-25 06:23:35,"#indialockdown 

india lock down for 21 days
Meanwhile corona Virus:- https://t.co/ne8wRhk94D"
53,2020-03-25 06:23:36,@JhaSanjay @TelanganaCMO is not mad. He is worried about 99.999% of his state population which can get infected by… https://t.co/CEaw1N1Gb5
54,2020-03-25 06:24:31,Please stay at home and pray for Corona patients.. https://t.co/DoPQOtvcZj
55,2020-03-25 06:24:49,@PCIsurgeon I pray @PCIsurgeon that you get cured soon. Pls keep us informed. Doctors like you are our warriors in… https://t.co/OQn3ymupkx
56,2020-03-25 06:25:05,Dear @ZeeNews please be updated for your results against Corona virus count in India. There are 11 deaths and you a… https://t.co/Olvx6VyOAH
57,2020-03-25 06:25:07,@MoHFW_INDIA @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @MIB_India @mygovindia @MEAIndia @MoCA_GoI… https://t.co/xB4UmLLaBk
58,2020-03-25 06:26:33,"Bachao Bachao Corono aaya Corona aaya. 
Save me save me from Corono (Covid 19) please. https://t.co/SFjYzCi4L2"
59,2020-03-25 06:26:39,@deepscribble We will another block next to corona block in hospital . Broken bone block .
60,2020-03-25 06:26:55,"Don't need to take lightly , 21 day lockdown may be beneficial for our Life ,so if you want to  win fight with coro… https://t.co/eNm43yGi57"
61,2020-03-25 06:29:11,"This picture makes me cry!

This is the last photo of Dr Hadio Ali who died after treating the people affected by C… https://t.co/kSIAwwCjU1"
62,2020-03-25 06:29:18,@amjedmbt @HforHyderabad @TelanganaCMO @hydcitypolice @TelanganaDGP @KTRTRS @KTRoffice Is it necessary to roam in t… https://t.co/yFJRFghVbQ
63,2020-03-25 06:29:22,"Total no. Of Corona suspects in India 562 
Total no. Of Soyabeans in 1/2 Kg 446
No. Of Corona suspects lead by 116… https://t.co/FgZolczSqu"
64,2020-03-25 06:29:48,"I just don’t get this. What’s wrong with people? What are they thinking?

#Covid19 #21daysLockdown #21DaysChallenge… https://t.co/umWksdprJR"
65,2020-03-25 06:29:52,@GyanMarao @DelhiPolice any sensible person will approach nearby doctor its not like that you will straight away ge… https://t.co/BXZBzGhaJJ
66,2020-03-25 06:30:03,@Tejasvi_Surya You are more contagious than Corona together!
67,2020-03-25 06:30:22,#coronavírus #corona #mat #corona #airqualityindex #pureair #pure #pureair🍃 #oxygen @ Greater Kailash https://t.co/nJhgnL7qMW
68,2020-03-25 06:30:30,"#NameTheidiot #NameTheCovidiot !!!
I start with @ReallySwara https://t.co/8o23JNslhW"
69,2020-03-25 06:30:31,"Hii friends...
Be not afraid of corona. Correct information is the only defense. I appeal to you not to get involve… https://t.co/YgBXwfcA23"
70,2020-03-25 06:30:38,OBEY THE RESPECT OF P.M........ AND WILL BE SAFE FROM CORONA https://t.co/6VAfklbubb
71,2020-03-25 06:30:42,Ask your brethren to stay at home and stop posting stupid senseless videos about corona pandemic. No harm shall be… https://t.co/0WfnGbBq1l
72,2020-03-25 06:30:52,@rssurjewala Be kind to Modiji in this hour of difficulty. He just made people to sound utensils and send the messa… https://t.co/YuX47YcQy9
73,2020-03-25 06:31:06,@sksingh_deo Take some step in our contingency for fighting Corona viruses
74,2020-03-25 06:31:10,"https://t.co/P7eQiq8tFa Mata Di 
Doston ise #Corona Ke Tarah Faila Do Bhai 
Please Like Share And Comments 
Subscri… https://t.co/tgnt8xbjw9"
75,2020-03-25 06:31:31,2007 warning of Bat diet led novel Corona virus. People should stop eating any animal which moves... #COVID2019… https://t.co/9Of4Kj3DH9
76,2020-03-25 06:32:25,"Corona Doesn't Want to Kill You | Sadhguru Answers Critics https://t.co/FijksnMsTq via @YouTube
Well said… https://t.co/QSuuruUsoe"
77,2020-03-25 06:32:38,"Please share it as much as you can....
If we can provide home to anyone who is in need.
https://t.co/NrjyGl33uD… https://t.co/jnB6ZgkAOe"
78,2020-03-25 06:32:49,@AudaciousQuest Today's Anandabazar Patrka (I read it online) reported in their editorial page three episodes of ha… https://t.co/EXUWO4lBrM
79,2020-03-25 06:33:25,"Social distancing 101 for My lovely audience .

#china #corona #quarantine #virus #wuhan #disease #coronavírus… https://t.co/zih15gPZ2g"
80,2020-03-25 06:33:26,Happy Ugadi to all people. This Ugadi helps to kill corona https://t.co/7ZP4FNzbUc
